Order,State,18+ Estimate,18+ 95% CI (Lower),18+ 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26+ Estimate,26+ 95% CI (Lower),26+ 95% CI (Upper)
1,Total U.S.,58969,57778,60183,12048,11735,12367,46921,45804,48062
2,Northeast,10171,9783,10570,2027,1931,2126,8144,7771,8530
3,Midwest,12562,12163,12969,2622,2529,2717,9939,9553,10337
4,South,21701,21077,22338,4341,4182,4502,17360,16770,17966
5,West,14535,14007,15081,3058,2921,3198,11478,10969,12006
6,Alabama,860,775,952,174,155,195,685,605,773
7,Alaska,124,110,139,23,20,26,101,89,116
8,Arizona,1468,1302,1647,325,287,366,1143,987,1314
9,Arkansas,564,500,633,106,93,119,458,398,525
10,California,6316,5901,6751,1376,1269,1486,4940,4542,5364
11,Colorado,1263,1144,1390,264,236,294,999,887,1121
12,Connecticut,689,613,771,139,121,158,550,479,629
13,Delaware,176,157,196,33,28,37,143,125,163
14,District of Columbia,155,138,173,31,27,35,124,108,140
15,Florida,3551,3287,3831,696,636,758,2856,2602,3129
16,Georgia,1906,1727,2097,373,332,416,1533,1364,1717
17,Hawaii,231,204,261,41,35,46,191,165,220
18,Idaho,391,351,434,84,75,94,306,268,348
19,Illinois,2192,2010,2386,425,383,469,1767,1594,1954
20,Indiana,1229,1117,1348,284,256,313,945,840,1060
21,Iowa,626,558,700,125,110,142,501,436,572
22,Kansas,519,464,578,114,100,129,405,354,461
23,Kentucky,864,782,952,147,129,166,717,639,802
24,Louisiana,774,692,863,135,116,156,639,562,724
25,Maine,290,259,323,46,40,51,245,215,277
26,Maryland,1055,931,1189,211,184,239,844,729,972
27,Massachusetts,1342,1208,1486,310,275,346,1033,908,1170
28,Michigan,1812,1681,1950,356,324,390,1456,1333,1588
29,Minnesota,1038,920,1166,232,203,262,807,696,930
30,Mississippi,450,401,503,87,75,100,363,317,414
31,Missouri,1233,1100,1375,231,201,262,1002,877,1138
32,Montana,216,192,242,47,41,53,169,146,194
33,Nebraska,359,323,397,83,73,93,276,243,312
34,Nevada,571,510,637,109,96,122,462,404,526
35,New Hampshire,305,276,335,57,51,64,247,220,277
36,New Jersey,1416,1266,1579,318,284,353,1099,955,1258
37,New Mexico,404,363,449,87,76,98,317,279,359
38,New York,3293,3055,3543,624,564,689,2668,2441,2911
39,North Carolina,1759,1580,1953,338,294,386,1421,1252,1606
40,North Dakota,137,120,154,33,29,38,103,88,120
41,Ohio,2113,1960,2274,446,412,482,1667,1520,1823
42,Oklahoma,665,594,743,152,131,173,514,448,586
43,Oregon,1015,911,1126,179,158,201,836,736,944
44,Pennsylvania,2480,2297,2673,460,417,504,2021,1845,2208
45,Rhode Island,214,190,239,44,39,50,169,147,194
46,South Carolina,843,736,961,166,143,191,677,577,790
47,South Dakota,163,146,182,36,32,41,127,110,145
48,Tennessee,1441,1294,1599,286,254,319,1155,1017,1306
49,Texas,4689,4379,5014,1028,941,1119,3661,3369,3972
50,Utah,732,675,792,191,171,213,540,490,593
51,Vermont,143,128,158,29,26,33,113,100,128
52,Virginia,1542,1417,1675,314,284,345,1228,1110,1356
53,Washington,1695,1535,1863,309,276,344,1385,1232,1550
54,West Virginia,408,361,458,66,58,75,342,297,391
55,Wisconsin,1141,1027,1263,257,231,285,883,775,1002
56,Wyoming,110,98,124,22,20,25,88,76,101
