Order,State,18+ Estimate,18+ 95% CI (Lower),18+ 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26+ Estimate,26+ 95% CI (Lower),26+ 95% CI (Upper)
1,Total U.S.,57503,56263,58767,9305,9011,9606,48198,47038,49382
2,Northeast,10531,10120,10954,1716,1632,1801,8815,8417,9227
3,Midwest,13280,12866,13701,2248,2159,2339,11031,10637,11436
4,South,20602,20000,21217,3232,3094,3374,17370,16790,17964
5,West,13091,12584,13617,2110,1995,2229,10981,10493,11489
6,Alabama,825,738,920,132,115,150,693,611,784
7,Alaska,113,100,128,17,15,20,96,84,110
8,Arizona,1362,1202,1537,212,183,245,1150,997,1318
9,Arkansas,549,492,610,84,73,95,465,411,524
10,California,5420,5031,5833,912,821,1009,4508,4135,4907
11,Colorado,1240,1127,1359,189,167,213,1050,943,1165
12,Connecticut,694,618,777,118,103,135,576,504,655
13,Delaware,188,168,209,27,24,31,161,142,181
14,District of Columbia,161,144,179,26,22,29,136,119,153
15,Florida,3286,3027,3563,460,411,513,2826,2576,3096
16,Georgia,1679,1512,1859,271,239,307,1407,1249,1580
17,Hawaii,171,147,198,26,22,30,146,123,172
18,Idaho,398,358,441,72,64,80,326,288,367
19,Illinois,2179,1998,2371,362,327,399,1817,1644,2003
20,Indiana,1349,1227,1477,232,209,258,1116,1000,1240
21,Iowa,658,588,732,125,110,140,533,468,604
22,Kansas,565,505,628,99,87,111,466,410,527
23,Kentucky,955,866,1051,151,134,170,804,719,895
24,Louisiana,779,699,866,112,97,129,667,590,750
25,Maine,314,283,347,44,38,49,270,240,303
26,Maryland,1105,988,1232,174,152,198,931,818,1054
27,Massachusetts,1477,1336,1628,262,232,294,1215,1081,1360
28,Michigan,1841,1705,1984,296,268,326,1545,1415,1684
29,Minnesota,1194,1069,1329,203,179,230,991,873,1119
30,Mississippi,435,384,490,60,50,71,375,327,428
31,Missouri,1305,1175,1443,203,178,230,1101,978,1234
32,Montana,234,210,260,36,32,41,198,175,222
33,Nebraska,377,341,415,68,59,76,309,276,345
34,Nevada,488,431,549,65,56,75,422,368,482
35,New Hampshire,304,276,334,49,44,55,255,228,284
36,New Jersey,1433,1287,1592,246,218,276,1187,1049,1339
37,New Mexico,339,301,381,53,46,62,286,249,326
38,New York,3425,3176,3687,531,482,584,2894,2654,3148
39,North Carolina,1881,1698,2077,296,260,335,1585,1413,1772
40,North Dakota,141,125,158,31,27,35,110,95,127
41,Ohio,2292,2132,2461,383,351,416,1910,1754,2074
42,Oklahoma,708,636,785,120,104,137,588,521,660
43,Oregon,973,871,1082,134,118,152,839,740,945
44,Pennsylvania,2482,2296,2679,398,361,438,2084,1905,2275
45,Rhode Island,229,204,255,39,34,44,189,166,215
46,South Carolina,900,795,1015,136,118,156,764,663,875
47,South Dakota,175,157,195,30,27,34,144,127,163
48,Tennessee,1246,1108,1396,198,173,225,1048,916,1193
49,Texas,3977,3690,4281,680,614,751,3297,3025,3588
50,Utah,689,635,746,143,127,161,546,495,599
51,Vermont,172,155,190,28,24,31,145,128,162
52,Virginia,1544,1416,1679,249,223,276,1295,1175,1425
53,Washington,1548,1393,1714,229,202,258,1319,1170,1480
54,West Virginia,384,344,427,56,49,64,327,289,369
55,Wisconsin,1205,1087,1331,216,193,241,988,876,1110
56,Wyoming,116,102,130,19,17,22,96,84,110
